NOTEBOOK|EQUIPAMENTO ELETRÔNICO 
CELULAR|EQUIPAMENTO ELETRÔNICO  
COMPUTADOR|EQUIPAMENTO ELETRÔNICO  
IMPRESSORA|EQUIPAMENTO ELETRÔNICO 
BICICLETA|TIPO DE VEÍCULO
CICLOMOTOR|TIPO DE VEÍCULO
MOTONETA|TIPO DE VEÍCULO
MOTOCICLETA|TIPO DE VEÍCULO
TRICICLO|TIPO DE VEÍCULO
QUADRICICLO|TIPO DE VEÍCULO
AUTOMÓVEL|TIPO DE VEÍCULO
MICROÔNIBUS|TIPO DE VEÍCULO
GABRIEL|NOME
ANGELA|NOME
MURILO|NOME
HERMES|NOME
PAULA|NOME
PAULO|NOME
MARIA|NOME
JOSÉ|NOME
ANA|NOME
MAURICIO|NOME
RINALDO|NOME
SOCORRO|NOME
ARROZ|ALIMENTO
PÃO|ALIMENTO
BATATA|ALIMENTO
MANDIOCA|ALIMENTO
BRÓCOLIS|VERDURAS OU LEGUMES
COUVE|VERDURAS OU LEGUMES
REPOLHO|VERDURAS OU LEGUMES
ABOBRINHA|VERDURAS OU LEGUMES
ABACAXI|FRUTA
MAÇÃ|FRUTA
BANANA|FRUTA
KIWI|FRUTA
CAJU|FRUTA
ACEROLA|FRUTA
RIO DE JANEIRO|CIDADE DO BRASIL
SÃO PAULO|CIDADE DO BRASIL
SALVADOR|CIDADE DO BRASIL
BELO HORIZONTE|CIDADE DO BRASIL
MANAUS|CIDADE DO BRASIL
ACRE|CIDADE DO BRASIL
FORTALEZA|CIDADE DO BRASIL
FRIGILIANA|CIDADE DA ESTRANGEIRA
VARSÓVIA|CIDADE DA ESTRANGEIRA
INNSBRUCK|CIDADE DA ESTRANGEIRA
RIOMAGGIORE|CIDADE DA ESTRANGEIRA
ESTOCOLMO|CIDADE DA ESTRANGEIRA
KARLOVY VARY|CIDADE DA ESTRANGEIRA
AMSTERDÃ|CIDADE DA ESTRANGEIRA
PARIS|CIDADE DA ESTRANGEIRA
ROMA|CIDADE DA ESTRANGEIRA
CACHORRO|ANIMAL
GATO|ANIMAL
LEÃO|ANIMAL
PATO|ANIMAL
RONDÔNIA|CIDADE DO BRASIL
PARÁ|CIDADE DO BRASIL
RORAIMA|CIDADE DO BRASIL
ARGENTINA|CIDADE ESTRANGEIRA
